timestamp,text
00:01,hello my name is juan gomez luna and i'm
00:03,a senior researcher in the safari
00:05,research group at eta zurich
00:07,i'm going to present our work
00:09,understanding a modern processing in
00:10,memory architecture
00:12,benchmarking and experimental
00:13,characterization
00:15,let's start with a brief executive
00:16,summary in current computing systems
00:19,data movement between the memory and
00:20,storage units and the compute units
00:22,is a major contributor to the execution
00:25,time and the energy consumption
00:27,processing in memory is a promising
00:28,paradigm that can tackle this data
00:30,movement bottleneck
00:31,processing in memory essentially
00:33,consists of placing
00:34,compute capabilities near or inside
00:36,memory
00:37,all to explore for more than 50 years
00:40,technology challenges prevented from the
00:42,successful materialization
00:44,upm has designed fabricated and
00:46,commercializes the first publicly
00:48,available real-world processing in
00:50,memory architecture
00:51,which consists of ddr4 chips embedding a
00:54,small cores
00:55,called dram processing units or gpus or
00:58,work is an introduction to the upm team
01:00,architecture and programming model
01:02,a characterization of the vpu
01:04,architecture and a benchmarking and
01:05,workload suitability study
01:07,our main contributions are a
01:09,comprehensive characterization and
01:11,analysis of the first commercially
01:12,available team architecture
01:14,and the first benchmark suite for a
01:16,real-world processing memory
01:18,architecture that is called prim
01:20,prim contains 16 workloads that are
01:22,memory bound in conventional processor
01:24,centric systems
01:26,we characterize these workloads with a
01:28,strong and weak scaling
01:29,analysis and compare them to their
01:32,state-of-the-art
01:33,cpu and gpu counterparts main takeaways
01:36,of our work
01:37,are the order characteristics for pin
01:39,suitability programming recommendations
01:41,suggestions and machines for hardware
01:43,architecture designers of future pin
01:45,systems
01:46,and prim which can be used as
01:48,programming samples and for evaluation
01:50,and comparison
01:51,of current and future pin systems data
01:54,movement in current compute systems
01:57,dominates performance and energy
01:59,consumption
02:00,according to wrestling studies data
02:02,movement accounts for
02:04,62 percent of total system energy in
02:06,consumer applications 40
02:08,in scientific applications and 35 in
02:10,mobile applications
02:12,if you take a look at a current system
02:14,on shift you will find many components
02:16,like cpu
02:17,gpu hash hierarchy accelerators and
02:20,among
02:20,all these components and the dram there
02:22,is a lot of data movement
02:24,this data movement entails a huge
02:26,bottleneck that can be alleviated
02:28,by making compute systems more data
02:31,centric
02:32,and processing memory is a way of doing
02:34,it processing in memory
02:35,proposes computing where it makes sense
02:38,where the data resides
02:40,the opm team architecture consists of
02:43,ddr4 beams
02:44,with fin chips that contain memory
02:47,arrays
02:47,and small processors called gpus in our
02:50,paper
02:51,we present this architecture and perform
02:54,a thorough benchmarking and
02:55,an experimental characterization
02:58,throughout all paper and also throughout
02:59,this presentation
03:01,you will find some color boxes with
03:03,programming recommendations
03:05,key observations and key takeaways
